"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KIF5C",1.27158226198484,6.9677726474919,4.67578598708414,4.53509871669569e-05,0.0254279496507653,2.01219623810674
"DPEP1",-4.14603518899512,8.14773890284209,-4.63636179741266,5.09535633119269e-05,0.0278550392235476,1.90835726568885
"NDNF",0.896955232671646,7.19794874512181,4.60896941502335,5.52440871328752e-05,0.0293503942686133,1.83628461924815
"CALB2",1.34741779009093,5.83666115760614,4.60210928540488,5.63733735437764e-05,0.0293503942686133,1.81824496833711
"PCDHB13",0.66566961166729,5.35165227754131,4.58867832453965,5.86507981680752e-05,0.0293955481733,1.78293854372061
"APOL6",-0.805578045012805,11.5874952981473,-4.5858108473727,5.9148676984735e-05,0.0293955481733,1.77540281592994
"WDR45",-0.504405828933525,8.23436647810368,-4.55023559567483,6.56840194161802e-05,0.0306557927600714,1.68197455422707
"IRF9",-0.706467257974618,8.97480963002078,-4.54231136516206,6.72341628345251e-05,0.0306557927600714,1.66118022904314
"NAP1L2",0.846957802453527,5.55439427893147,4.511065618677,7.37064248151213e-05,0.0306557927600714,1.57924750502118
"MOCOS",-1.27786163534123,7.53477991944478,-4.5102752336481,7.38778801158218e-05,0.0306557927600714,1.57717623484985
"PTN",1.28934666204117,6.91404101817525,4.50770919304625,7.4437239885549e-05,0.0306557927600714,1.57045215393788
"CXCL6",-1.8261044169674,6.03833814510855,-4.50026611990774,7.60834755770873e-05,0.0306557927600714,1.55095210017103
"REG1B",-4.51842516854745,7.71312676054912,-4.50017606830997,7.61036112817116e-05,0.0306557927600714,1.55071620993614
"SLC6A20",-2.94825762766474,7.04423087380787,-4.49964894346822,7.62215829042954e-05,0.0306557927600714,1.54933542297423
"HTR4",-1.02454713754167,7.06489429337071,-4.49935635038229,7.62871437043007e-05,0.0306557927600714,1.54856899711498
"NR1H4",-2.18692030006351,8.62855598140635,-4.49669470482422,7.6886095018117e-05,0.0306557927600714,1.5415974259728
"CHRNA1",1.07925929133437,4.75034116336614,4.49572428922734,7.71056204236488e-05,0.0306557927600714,1.53905582941967
"LOC93432",-1.82992051357128,7.60163242797316,-4.46445912309043,8.45190191582265e-05,0.0327671655834612,1.45722365218015
"GUCY2F",0.514854354347849,3.77800718184651,4.45848097068652,8.601455070534e-05,0.0327671655834612,1.44158879203
"CPNE7",-1.03019416670158,5.41002970827033,-4.45494420683385,8.69115838405244e-05,0.0327671655834612,1.4323408438197
"PLEKHS1",-2.20805368372484,7.26470880593146,-4.43697805501618,9.1612748277738e-05,0.0339541689252423,1.38538458256318
"OLFM4",-2.60667945439011,13.3905340441953,-4.42765797338886,9.41493727819657e-05,0.034079517816173,1.36104016720201
"AKR7A3",-1.34340926526912,9.44017999255349,-4.41744025377199,9.70098838883015e-05,0.034079517816173,1.33436268102348
"DNAL1",0.583989214422882,7.63589519109614,4.40583910996817,0.000100361599889334,0.034079517816173,1.30408812255305
"SMAD9",0.821847040266934,8.05101428255042,4.39333090315902,0.000104103236570715,0.034079517816173,1.27146452849991
"CLDN8",2.77235093287533,6.39122304668677,4.39185259953018,0.000104554427669283,0.034079517816173,1.26761010597973
"PSME2",-0.893190311939816,10.7960052326636,-4.38868434431772,0.000105527903670628,0.034079517816173,1.2593503238319
"PSME1",-0.609145172581477,10.8830675054415,-4.38858248564291,0.000105559348358618,0.034079517816173,1.25908479411371
"APOL2",-0.850551461388949,8.5289234485835,-4.38053045160157,0.000108074500240365,0.034079517816173,1.2380984305103
"SULT1A3",-0.829666372036168,9.91515070221758,-4.37932888440639,0.000108454850242571,0.034079517816173,1.23496742054844
"SULT1A4",-0.829666372036168,9.91515070221758,-4.37932888440639,0.000108454850242571,0.034079517816173,1.23496742054844
"GLRA2",1.04533848666408,4.72407472532917,4.37365179985879,0.000110269802453832,0.034079517816173,1.22017666047717
"NOV",0.903383935433434,6.24183912277788,4.37018004394101,0.00011139441699063,0.034079517816173,1.2111335239858
